"Cluster","first_region","legend_label","hex"
0,"Midbrain","Midbrain","#54278F"
1,"Midbrain","Midbrain","#54278F"
2,"Thalamus","Thalamus","#FDAE6B"
3,"Thalamus","Thalamus","#FDAE6B"
4,"Spinal Cord","Spinal Cord","#EFEDF5"
5,"Hippocampus","Hippocampus","#41AB5D"
6,"Hippocampus","Hippocampus","#41AB5D"
7,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
8,"Hippocampus","Hippocampus","#41AB5D"
9,"Cerebral Cortex","Cerebral Cortex","#969696"
10,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
11,"Cerebral Cortex","Cerebral Cortex","#969696"
12,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
13,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
14,"Hippocampus","Hippocampus","#41AB5D"
15,"Cerebral Cortex","Cerebral Cortex","#969696"
16,"Cerebral Cortex","Cerebral Cortex","#969696"
17,"Hypothalamus","Hypothalamus","#FEE6CE"
18,"Cerebral Cortex","Cerebral Cortex","#969696"
19,"Thalamus","Thalamus","#FDAE6B"
20,"Thalamus","Thalamus","#FDAE6B"
21,"Thalamus","Thalamus","#FDAE6B"
22,"Thalamus","Thalamus","#FDAE6B"
23,"Thalamus","Thalamus","#FDAE6B"
24,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
25,"Thalamus","Thalamus","#FDAE6B"
26,"Thalamus","Thalamus","#FDAE6B"
27,"Thalamus","Thalamus","#FDAE6B"
28,"Thalamus","Thalamus","#FDAE6B"
29,"Medulla","Medulla","#E0ECF4"
30,"Cerebral Cortex","Cerebral Cortex","#969696"
31,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
32,"Hypothalamus","Hypothalamus","#FEE6CE"
33,"Pons","Pons","#BCBDDC"
34,"Hippocampus","Hippocampus","#41AB5D"
35,"Cerebral Cortex","Cerebral Cortex","#969696"
36,"Cerebral Cortex","Cerebral Cortex","#969696"
37,"Cerebral Cortex","Cerebral Cortex","#969696"
38,"Hippocampus","Hippocampus","#41AB5D"
39,"Cerebral Cortex","Cerebral Cortex","#969696"
40,"Hippocampus","Hippocampus","#41AB5D"
41,"Amygdala","Amygdala","#E31A1C"
42,"Thalamus","Thalamus","#FDAE6B"
43,"Thalamus","Thalamus","#FDAE6B"
44,"Thalamus","Thalamus","#FDAE6B"
45,"Cerebral Cortex","Cerebral Cortex","#969696"
46,"Thalamus","Thalamus","#FDAE6B"
47,"Thalamus","Thalamus","#FDAE6B"
48,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
49,"Pons","Pons","#BCBDDC"
50,"Hypothalamus","Hypothalamus","#FEE6CE"
51,"Cerebellum","Cerebellum","#807DBA"
52,"Cerebral Cortex","Cerebral Cortex","#969696"
53,"Hippocampus","Hippocampus","#41AB5D"
54,"Cerebral Cortex","Cerebral Cortex","#969696"
55,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
56,"Hypothalamus","Hypothalamus","#FEE6CE"
57,"Hippocampus","Hippocampus","#41AB5D"
58,"Cerebral Cortex","Cerebral Cortex","#969696"
59,"Pons","Pons","#BCBDDC"
60,"Thalamus","Thalamus","#FDAE6B"
